district,year,age_range,spanish_men,spanish_women,spanish_total,foreign_total,total,spanish_men_ref,spanish_women_ref,spanish_total_ref,foreign_total_ref,total_ref,spanish_men_ratio,spanish_women_ratio,spanish_total_ratio,foreign_total_ratio,total_ratio
Vicálvaro,2011,65-84,3803,4627,8430,184,8614,3244,3682,6926,116,7042,1.1723181257706534,1.2566539923954372,1.2171527577245163,1.5862068965517242,1.2232320363533087
Vicálvaro,2012,65-84,3791,4702,8493,165,8658,3244,3682,6926,116,7042,1.1686189889025893,1.2770233568712657,1.226248917123881,1.4224137931034482,1.2294802612894065
Vicálvaro,2013,65-84,3823,4760,8583,172,8755,3244,3682,6926,116,7042,1.1784833538840938,1.2927756653992395,1.239243430551545,1.4827586206896552,1.2432547571712582
Vicálvaro,2014,65-84,3833,4825,8658,155,8813,3244,3682,6926,116,7042,1.1815659679408137,1.310429114611624,1.2500721917412647,1.3362068965517242,1.2514910536779325
Vicálvaro,2015,65-84,3793,4889,8682,146,8828,3244,3682,6926,116,7042,1.1692355117139335,1.3278109722976643,1.253537395321975,1.2586206896551724,1.253621130360693
Vicálvaro,2016,65-84,3791,4929,8720,168,8888,3244,3682,6926,116,7042,1.1686189889025893,1.3386746333514394,1.2590239676580999,1.4482758620689655,1.2621414370917352
Vicálvaro,2017,65-84,3794,4892,8686,202,8888,3244,3682,6926,116,7042,1.1695437731196054,1.3286257468766975,1.2541149292520937,1.7413793103448276,1.2621414370917352
Vicálvaro,2004,85-100,155,376,531,10,541,155,376,531,10,541,1.0,1.0,1.0,1.0,1.0
Vicálvaro,2005,85-100,149,379,528,9,537,155,376,531,10,541,0.9612903225806452,1.0079787234042554,0.9943502824858758,0.9,0.9926062846580407
Vicálvaro,2006,85-100,159,404,563,10,573,155,376,531,10,541,1.0258064516129033,1.074468085106383,1.0602636534839924,1.0,1.0591497227356748
Vicálvaro,2007,85-100,208,457,665,10,675,155,376,531,10,541,1.3419354838709678,1.2154255319148937,1.2523540489642184,1.0,1.2476894639556377
Vicálvaro,2008,85-100,210,441,651,7,658,155,376,531,10,541,1.3548387096774193,1.172872340425532,1.2259887005649717,0.7,1.2162661737523106
Vicálvaro,2009,85-100,225,494,719,8,727,155,376,531,10,541,1.4516129032258065,1.3138297872340425,1.3540489642184557,0.8,1.343807763401109
